true\pred,Pick up kettle,Position kettle to pour,Move kettle,Hold coffee carafe,Grasp coffee scoop,Transfer coffee to dripper,Hold gooseneck kettle,Grasp gooseneck kettle,Lift gooseneck kettle,Move kettle away,Place kettle on table,Pick up white bottle,Pour liquid from white bottle,Close bottle cap,Place item on table,Wait/Prepare for pouring,Pour coffee,Pour milk into coffee
Pick up kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position kettle to pour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Move kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold coffee carafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grasp coffee scoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer coffee to dripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grasp gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lift gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Move kettle away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Place kettle on table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pick up white bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pour liquid from white bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Close bottle cap,22,5,0,0,0,0,0,4,0,6,0,3,19,5,0,0,0,0
Place item on table,0,0,3,0,0,0,0,4,0,1,9,6,0,0,0,0,0,0
Wait/Prepare for pouring,5,4,3,0,4,2,61,9,0,0,2,0,1,4,0,0,0,0
Pour coffee,1,7,8,5,10,14,0,0,0,0,5,6,100,3,0,0,0,0
Pour milk into coffee,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
