true\pred,Pick up and position kettle,Position kettle to pour,Move kettle,Prepare coffee equipment and scoop grounds,Transfer coffee grounds to dripper,Secure coffee container,Handle gooseneck kettle,Lift gooseneck kettle,Set down kettle and retrieve white bottle,Pour and close white bottle,Move bottle to coffee equipment,Prepare for pouring,Pour coffee,Pour milk into coffee
Pick up and position kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position kettle to pour,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Move kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prepare coffee equipment and scoop grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer coffee grounds to dripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secure coffee container,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handle gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lift gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set down kettle and retrieve white bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pour and close white bottle,32,0,0,0,0,0,0,0,19,6,0,0,0,0
Move bottle to coffee equipment,1,0,0,0,0,0,0,0,6,0,0,0,0,0
Prepare for pouring,9,0,3,0,2,3,73,1,18,10,0,0,0,0
Pour coffee,47,1,5,4,0,19,0,1,15,59,0,0,0,0
Pour milk into coffee,5,0,0,0,0,0,0,0,0,5,0,0,0,0
