class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,0,47,0.0,0.0,0.0
1,Position kettle to pour,0,0,0.0,0.0,0.0
2,Move kettle,0,14,0.0,0.0,0.0
3,Prepare coffee equipment and scoop grounds,0,1,0.0,0.0,0.0
4,Transfer coffee grounds to dripper,0,9,0.0,0.0,0.0
5,Secure coffee container,0,10,0.0,0.0,0.0
6,Handle gooseneck kettle,0,66,0.0,0.0,0.0
7,Lift gooseneck kettle,0,10,0.0,0.0,0.0
8,Set down kettle and retrieve white bottle,0,59,0.0,0.0,0.0
9,Pour and close white bottle,57,128,0.1015625,0.22807017543859648,0.14054054054054055
10,Move bottle to coffee equipment,7,0,0.0,0.0,0.0
11,Prepare for pouring,119,0,0.0,0.0,0.0
12,Pour coffee,151,0,0.0,0.0,0.0
13,Pour milk into coffee,10,0,0.0,0.0,0.0
