class_id,class_name,support,predicted,precision,recall,f1
0,Pick up kettle,0,33,0.0,0.0,0.0
1,Position kettle to pour,0,38,0.0,0.0,0.0
2,Move kettle,0,12,0.0,0.0,0.0
3,Hold coffee carafe,0,2,0.0,0.0,0.0
4,Grasp coffee scoop,0,17,0.0,0.0,0.0
5,Transfer coffee to dripper,0,15,0.0,0.0,0.0
6,Hold gooseneck kettle,0,63,0.0,0.0,0.0
7,Grasp gooseneck kettle,0,11,0.0,0.0,0.0
8,Lift gooseneck kettle,0,10,0.0,0.0,0.0
9,Move kettle away,0,15,0.0,0.0,0.0
10,Place kettle on table,0,32,0.0,0.0,0.0
11,Pick up white bottle,0,11,0.0,0.0,0.0
12,Pour liquid from white bottle,0,65,0.0,0.0,0.0
13,Close bottle cap,60,21,0.5714285714285714,0.2,0.29629629629629634
14,Place item on table,24,0,0.0,0.0,0.0
15,Wait/Prepare for pouring,96,0,0.0,0.0,0.0
16,Pour coffee,160,3,0.0,0.0,0.0
17,Pour milk into coffee,8,0,0.0,0.0,0.0
