test_position,true_rank,top_candidate_position,top_candidate_score,true_score,window_index,center_frame
0,1,0,0.9972531795501709,0.9972531795501709,813,4074
1,1,1,0.9951320290565491,0.9951320290565491,814,4079
2,2,1,0.9938008189201355,0.9932761192321777,815,4084
3,2,2,0.9914073944091797,0.9907413125038147,816,4089
4,2,3,0.988284707069397,0.9872995615005493,817,4094
5,2,6,0.987267792224884,0.9869861602783203,818,4099
6,2,7,0.9864116907119751,0.9858275651931763,819,4104
7,2,8,0.9842313528060913,0.9832985401153564,820,4109
8,1,8,0.9871699810028076,0.9871699810028076,821,4114
9,1,9,0.9876085519790649,0.9876085519790649,822,4119
10,1,10,0.987179696559906,0.987179696559906,823,4124
11,1,11,0.9865617752075195,0.9865617752075195,824,4129
12,4,94,0.9896823167800903,0.9859784841537476,825,4134
13,5,20,0.9882175922393799,0.9863835573196411,826,4139
14,9,22,0.9893249273300171,0.9871491193771362,827,4144
15,7,22,0.9879494905471802,0.9866619110107422,828,4149
16,7,22,0.9875832796096802,0.985569953918457,829,4154
17,6,22,0.9885403513908386,0.9870245456695557,830,4159
18,5,22,0.9901235103607178,0.9888290166854858,831,4164
19,4,22,0.989838719367981,0.9888702630996704,832,4169
20,3,22,0.9895633459091187,0.9888907670974731,833,4174
21,2,22,0.989014744758606,0.988796055316925,834,4179
22,1,22,0.9875228404998779,0.9875228404998779,835,4184
23,1,23,0.9885876178741455,0.9885876178741455,836,4189
24,1,24,0.9862247705459595,0.9862247705459595,837,4194
25,1,25,0.9850010275840759,0.9850010275840759,838,4199
26,1,26,0.984866738319397,0.984866738319397,839,4204
27,1,27,0.9814540147781372,0.9814540147781372,840,4209
28,15,29,0.9796075820922852,0.977821946144104,841,4214
29,2,100,0.9815130829811096,0.9809496402740479,842,4219
30,5,99,0.9806188344955444,0.9776901006698608,843,4224
31,1,31,0.9596537351608276,0.9596537351608276,844,4229
32,3,33,0.9419056177139282,0.9363870620727539,845,4234
33,1,33,0.9371856451034546,0.9371856451034546,846,4239
34,2,174,0.9540839195251465,0.9539417028427124,847,4244
35,1,35,0.9408491253852844,0.9408491253852844,848,4249
36,2,35,0.91556715965271,0.9153558611869812,849,4254
37,1,37,0.9414564371109009,0.9414564371109009,850,4259
38,5,26,0.9573360681533813,0.9534178972244263,851,4264
39,11,45,0.9554349184036255,0.9527175426483154,852,4269
40,44,123,0.9536640644073486,0.9462823867797852,853,4274
41,15,124,0.9639577269554138,0.9607465267181396,854,4279
42,13,124,0.9699094891548157,0.9673033952713013,855,4284
43,11,100,0.9720573425292969,0.9694074392318726,856,4289
44,6,100,0.9755700826644897,0.9733706712722778,857,4294
45,4,100,0.9760631322860718,0.9744259715080261,858,4299
46,6,100,0.977452278137207,0.9749147891998291,859,4304
47,25,100,0.9783324003219604,0.9745687246322632,860,4309
48,29,100,0.9774042367935181,0.9733043909072876,861,4314
49,29,100,0.9774991273880005,0.9737029075622559,862,4319
50,36,100,0.9779821038246155,0.973254382610321,863,4324
51,37,100,0.9790168404579163,0.973443329334259,864,4329
52,29,100,0.9798851013183594,0.9742473363876343,865,4334
53,18,100,0.9812057018280029,0.9760249853134155,866,4339
54,7,100,0.982001543045044,0.9786788821220398,867,4344
55,4,99,0.9813238978385925,0.9797014594078064,868,4349
56,3,99,0.9814507961273193,0.9796119928359985,869,4354
57,5,99,0.9802567958831787,0.9787911176681519,870,4359
58,6,99,0.9792881011962891,0.9779823422431946,871,4364
59,10,100,0.9795348644256592,0.9780423045158386,872,4369
60,7,56,0.9793782234191895,0.9788365364074707,873,4374
61,7,57,0.9793350696563721,0.9788033962249756,874,4379
62,9,57,0.9792133569717407,0.97858726978302,875,4384
63,10,29,0.9792635440826416,0.9786989688873291,876,4389
64,10,29,0.9788006544113159,0.9782708287239075,877,4394
65,6,29,0.9795957803726196,0.9787764549255371,878,4399
66,3,29,0.9794280529022217,0.978348970413208,879,4404
67,5,100,0.9804471135139465,0.9786238670349121,880,4409
