class_id,class_name,support,predicted,precision,recall,f1
0,Pick up kettle,0,1,0.0,0.0,0.0
1,Position kettle to pour,0,26,0.0,0.0,0.0
2,Move kettle,0,9,0.0,0.0,0.0
3,Hold coffee carafe,0,4,0.0,0.0,0.0
4,Grasp coffee scoop,0,5,0.0,0.0,0.0
5,Transfer coffee to dripper,0,7,0.0,0.0,0.0
6,Hold gooseneck kettle,0,60,0.0,0.0,0.0
7,Grasp gooseneck kettle,0,5,0.0,0.0,0.0
8,Lift gooseneck kettle,0,12,0.0,0.0,0.0
9,Move kettle away,0,83,0.0,0.0,0.0
10,Place kettle on table,0,11,0.0,0.0,0.0
11,Pick up white bottle,0,30,0.0,0.0,0.0
12,Pour liquid from white bottle,0,23,0.0,0.0,0.0
13,Close bottle cap,50,46,0.391304347826087,0.36,0.37499999999999994
14,Place item on table,20,0,0.0,0.0,0.0
15,Wait/Prepare for pouring,92,0,0.0,0.0,0.0
16,Pour coffee,156,0,0.0,0.0,0.0
17,Pour milk into coffee,4,0,0.0,0.0,0.0
