class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,0,39,0.0,0.0,0.0
1,Position kettle to pour,0,7,0.0,0.0,0.0
2,Move kettle,0,15,0.0,0.0,0.0
3,Prepare coffee equipment and scoop grounds,0,14,0.0,0.0,0.0
4,Transfer coffee grounds to dripper,0,0,0.0,0.0,0.0
5,Secure coffee container,0,4,0.0,0.0,0.0
6,Handle gooseneck kettle,0,89,0.0,0.0,0.0
7,Lift gooseneck kettle,0,14,0.0,0.0,0.0
8,Set down kettle and retrieve white bottle,0,27,0.0,0.0,0.0
9,Pour and close white bottle,0,124,0.0,0.0,0.0
10,Move bottle to coffee equipment,60,9,0.7777777777777778,0.11666666666666667,0.2028985507246377
11,Prepare for pouring,120,0,0.0,0.0,0.0
12,Pour coffee,80,0,0.0,0.0,0.0
13,Pour milk into coffee,82,0,0.0,0.0,0.0
