class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,0,31,0.0,0.0,0.0
1,Position kettle to pour,0,0,0.0,0.0,0.0
2,Move kettle,0,15,0.0,0.0,0.0
3,Prepare coffee equipment and scoop grounds,0,8,0.0,0.0,0.0
4,Transfer coffee grounds to dripper,0,0,0.0,0.0,0.0
5,Secure coffee container,0,0,0.0,0.0,0.0
6,Handle gooseneck kettle,0,59,0.0,0.0,0.0
7,Lift gooseneck kettle,0,19,0.0,0.0,0.0
8,Set down kettle and retrieve white bottle,0,40,0.0,0.0,0.0
9,Pour and close white bottle,0,153,0.0,0.0,0.0
10,Move bottle to coffee equipment,60,17,0.4117647058823529,0.11666666666666667,0.1818181818181818
11,Prepare for pouring,120,0,0.0,0.0,0.0
12,Pour coffee,80,0,0.0,0.0,0.0
13,Pour milk into coffee,82,0,0.0,0.0,0.0
