class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,0,43,0.0,0.0,0.0
1,Position kettle to pour,0,2,0.0,0.0,0.0
2,Move kettle,0,11,0.0,0.0,0.0
3,Prepare coffee equipment and scoop grounds,0,7,0.0,0.0,0.0
4,Transfer coffee grounds to dripper,0,8,0.0,0.0,0.0
5,Secure coffee container,0,12,0.0,0.0,0.0
6,Handle gooseneck kettle,0,58,0.0,0.0,0.0
7,Lift gooseneck kettle,0,24,0.0,0.0,0.0
8,Set down kettle and retrieve white bottle,0,54,0.0,0.0,0.0
9,Pour and close white bottle,57,115,0.10434782608695652,0.21052631578947367,0.1395348837209302
10,Move bottle to coffee equipment,7,1,0.0,0.0,0.0
11,Prepare for pouring,119,3,1.0,0.025210084033613446,0.049180327868852465
12,Pour coffee,151,5,1.0,0.033112582781456956,0.06410256410256411
13,Pour milk into coffee,10,1,0.0,0.0,0.0
