name,start,end,dim
hand_left_joints,0,441,441
hand_right_joints,441,882,441
body_joints,882,1974,1092
body_contacts,1974,2121,147
camera_translation,2121,2142,21
camera_rotation_matrix,2142,2205,63
imu_accel_gyro,2205,2247,42
depth_confidence,2247,3227,980
video_fisheye_cam0,3227,3913,686
video_fisheye_cam1,3913,4599,686
video_fisheye_cam2,4599,5285,686
video_fisheye_cam3,5285,5971,686
video_stereo_left,5971,6657,686
video_stereo_right,6657,7343,686
audio_fisheye_cam0_aac,7343,7511,168
caption_objects_interaction_text,7511,8407,896
slam_point_cloud,8407,8429,22
calibration,8429,8546,117
