true\pred,Pick up and position kettle,Position kettle to pour,Move kettle,Prepare coffee equipment and scoop grounds,Transfer coffee grounds to dripper,Secure coffee container,Handle gooseneck kettle,Lift gooseneck kettle,Set down kettle and retrieve white bottle,Pour and close white bottle,Move bottle to coffee equipment,Prepare for pouring,Pour coffee,Pour milk into coffee
Pick up and position kettle,38,0,0,0,0,0,0,0,0,0,0,0,0,0
Position kettle to pour,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Move kettle,0,1,9,0,0,0,0,0,0,0,0,0,0,0
Prepare coffee equipment and scoop grounds,0,0,0,28,0,0,0,0,0,0,0,0,0,0
Transfer coffee grounds to dripper,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Secure coffee container,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Handle gooseneck kettle,0,0,0,0,0,1,41,0,0,0,0,0,0,0
Lift gooseneck kettle,0,0,0,0,0,0,0,28,0,0,0,0,0,0
Set down kettle and retrieve white bottle,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Pour and close white bottle,0,0,0,0,0,0,0,0,0,27,1,0,0,0
Move bottle to coffee equipment,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Prepare for pouring,0,0,0,0,0,0,0,0,0,0,1,29,0,0
Pour coffee,0,0,0,0,0,0,0,0,0,0,0,0,38,0
Pour milk into coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,2
