class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,38,38,1.0,1.0,1.0
1,Position kettle to pour,2,3,0.6666666666666666,1.0,0.8
2,Move kettle,10,9,1.0,0.9,0.9473684210526316
3,Prepare coffee equipment and scoop grounds,28,28,1.0,1.0,1.0
4,Transfer coffee grounds to dripper,20,21,0.9523809523809523,1.0,0.975609756097561
5,Secure coffee container,2,2,0.5,0.5,0.5
6,Handle gooseneck kettle,42,41,1.0,0.9761904761904762,0.9879518072289156
7,Lift gooseneck kettle,28,28,1.0,1.0,1.0
8,Set down kettle and retrieve white bottle,20,20,1.0,1.0,1.0
9,Pour and close white bottle,28,27,1.0,0.9642857142857143,0.9818181818181818
10,Move bottle to coffee equipment,2,4,0.5,1.0,0.6666666666666666
11,Prepare for pouring,30,29,1.0,0.9666666666666667,0.983050847457627
12,Pour coffee,38,38,1.0,1.0,1.0
13,Pour milk into coffee,2,2,1.0,1.0,1.0
