class_id,class_name,support,predicted,precision,recall,f1
0,Place jar on shelf|can+cleaning cloth+jar+shelf,0,0,0.0,0.0,0.0
1,Reach for item in box|cardboard box+food items+jar,0,0,0.0,0.0,0.0
2,Reach for item in box|cardboard box+jar,0,0,0.0,0.0,0.0
3,Pick up nut bar box|cardboard box+hand+nut bars,0,0,0.0,0.0,0.0
4,Pick up nut bar box|cardboard box+hand+nut bars+nut bars box,0,1,0.0,0.0,0.0
5,Pick up nut bar box|hand+nut bars box,0,0,0.0,0.0,0.0
6,Pick up product from box|cardboard box+food items,0,1,0.0,0.0,0.0
7,Pick up product from box|cardboard box+food items+food product,0,0,0.0,0.0,0.0
8,Pick up product from box|cardboard box+food product,0,0,0.0,0.0,0.0
9,Place product on shelf|canned food+shelf,0,1,0.0,0.0,0.0
10,Pick up product from bin|canned product+plastic bin+shelf,0,0,0.0,0.0,0.0
11,Place canned product on shelf|bin+canned product+shelf,0,0,0.0,0.0,0.0
12,Place canned product on shelf|canned product+shelf,0,2,0.0,0.0,0.0
13,Reach for next product|bin+shelf,0,0,0.0,0.0,0.0
14,Reach for next product|bin+canned product+shelf,0,0,0.0,0.0,0.0
15,Pick up canned product|canned product+cardboard box+shelf,0,0,0.0,0.0,0.0
16,Reach for next canned product|canned product+grocery shelf,0,0,0.0,0.0,0.0
17,Reach for next canned product|bin+canned product+grocery shelf,0,0,0.0,0.0,0.0
18,Reach for next canned product|bin+canned product,0,0,0.0,0.0,0.0
19,Arrange canned products on shelf|canned products+display shelf,0,0,0.0,0.0,0.0
20,Pick up plastic bin|canned goods+cardboard boxes+plastic bin,0,0,0.0,0.0,0.0
21,Move bin to shelf area|canned goods+plastic bin,0,0,0.0,0.0,0.0
22,Move bin to shelf area|canned goods+plastic bin+shelving unit,0,0,0.0,0.0,0.0
23,Move bin to shelf area|plastic bin+shelving unit,0,0,0.0,0.0,0.0
24,Place can on shelf|can+shelf,0,9,0.0,0.0,0.0
25,Retract hand|bin+can+shelf,0,0,0.0,0.0,0.0
26,Retract hand|bin+can,0,0,0.0,0.0,0.0
27,Hold and wipe product|cardboard box+cleaning cloth+jar of bovril,0,0,0.0,0.0,0.0
28,Reach for next item|canned goods+cardboard box+cleaning cloth,0,1,0.0,0.0,0.0
29,Wipe down shelf|cloth+shelf,0,0,0.0,0.0,0.0
30,Pick up product|box+glass jar,0,2,0.0,0.0,0.0
31,Wipe product|cloth+glass jar,0,0,0.0,0.0,0.0
32,Wipe food product|canned food item+cloth,0,0,0.0,0.0,0.0
33,Reach into box|canned food items+cardboard box,0,0,0.0,0.0,0.0
34,Place product in box|cardboard box+jar of food,0,1,0.0,0.0,0.0
35,Place product in box|canned food+cardboard box+jar of food,0,1,0.0,0.0,0.0
36,Wipe jar|cardboard box+cloth+jar,0,1,0.0,0.0,0.0
37,Place jar in box|cardboard box+cloth+jar,0,8,0.0,0.0,0.0
38,Wipe shelf|cleaning cloth+shelf,0,0,0.0,0.0,0.0
39,Pick up pickle jar|cleaning cloth+shelf,0,0,0.0,0.0,0.0
40,Pick up pickle jar|cardboard box+cleaning cloth+pickle jar+shelf,0,0,0.0,0.0,0.0
41,Pick up pickle jar|cardboard box+pickle jar,0,0,0.0,0.0,0.0
42,Hold pickle jar|cleaning cloth+pickle jar,0,61,0.0,0.0,0.0
43,Place pickle jar in box|cleaning cloth+pickle jar+shelf,0,0,0.0,0.0,0.0
44,Release pickle jar|cardboard box+pickle jar,0,4,0.0,0.0,0.0
45,Hold cleaning cloth|cardboard box+cleaning cloth+pickle jar,0,0,0.0,0.0,0.0
46,Wipe the shelf|cleaning cloth+grocery shelf+various canned food,0,0,0.0,0.0,0.0
47,Pick up product from box|cleaning cloth+grocery shelf,0,0,0.0,0.0,0.0
48,Pick up product from box|bottled product+cardboard box+cleaning cloth+grocery shelf,0,0,0.0,0.0,0.0
49,Pick up product from shelf|cleaning cloth+glass food jar,0,0,0.0,0.0,0.0
50,Wipe the product jar|cleaning cloth+glass jar+shelf,0,0,0.0,0.0,0.0
51,Place jar into shelf box|cardboard box+cleaning cloth+glass jar,0,0,0.0,0.0,0.0
52,Wipe grocery shelf|cleaning cloth+grocery shelf+product jars,0,0,0.0,0.0,0.0
53,Move to next section|cleaning cloth+grocery shelf,0,0,0.0,0.0,0.0
54,Pick up product|cardboard box+packaged product+shelf,0,3,0.0,0.0,0.0
55,Place product in box|hand+packaged product,0,0,0.0,0.0,0.0
56,Hold product|cardboard box+packaged food product,0,1,0.0,0.0,0.0
57,Pick up product from box|cardboard box+packaged grocery item,0,0,0.0,0.0,0.0
58,Pick up product from box|packaged grocery item,0,0,0.0,0.0,0.0
59,Place product on shelf|packaged grocery item+store shelf,0,0,0.0,0.0,0.0
60,Hold item and adjust posture|cardboard box+grocery item+shelf,0,0,0.0,0.0,0.0
61,Hold item and adjust posture|cardboard box+grocery item,0,0,0.0,0.0,0.0
62,Grasp product from box|cardboard box+packaged food item,0,0,0.0,0.0,0.0
63,Prepare to place product|cardboard box+packaged food item,0,0,0.0,0.0,0.0
64,Prepare to place product|cardboard box+food product+packaged food item,0,0,0.0,0.0,0.0
65,Prepare to place product|cardboard box+food product,0,0,0.0,0.0,0.0
66,Move product to shelf|rice bag,0,0,0.0,0.0,0.0
67,Move product to shelf|rice bag+shelf,0,0,0.0,0.0,0.0
68,Grasp product from shelf|cardboard box+red rice package+shelf,0,0,0.0,0.0,0.0
69,Move product to box|cardboard box+red rice package,0,0,0.0,0.0,0.0
70,Grasp next item|cardboard box+food package+shelving unit,0,0,0.0,0.0,0.0
71,Look up and scan the room|battery pack+buttons+hand+person+soda can+table+watch,0,0,0.0,0.0,0.0
72,Reach for buttons|battery pack+buttons+hand+person+soda can+table+watch,0,0,0.0,0.0,0.0
73,Reach for buttons|buttons+table+watch,0,0,0.0,0.0,0.0
74,Rearrange buttons|buttons+table+watch,0,0,0.0,0.0,0.0
75,Align button in row|black buttons+orange buttons+red buttons+table+watch,0,0,0.0,0.0,0.0
76,Pick up button|buttons+table+wristwatch,0,0,0.0,0.0,0.0
77,Place button in row|buttons+table,0,0,0.0,0.0,0.0
78,Place button|buttons+hand+phone+table+watch,0,0,0.0,0.0,0.0
79,Release button|buttons+charger+hand+table+watch,0,0,0.0,0.0,0.0
80,Release button|buttons+charger+hand+red button+table+watch,0,0,0.0,0.0,0.0
81,Pick up orange button|buttons+hand+phone+smartphone+table+watch,0,0,0.0,0.0,0.0
82,Pick up orange button|buttons+hand+phone+table+watch,0,0,0.0,0.0,0.0
83,Arrange small buttons|buttons+hand+phone+table+watch,0,0,0.0,0.0,0.0
84,Align button|buttons+left hand+right hand+table+watch,0,0,0.0,0.0,0.0
85,Align buttons|buttons+hand+phone+power bank+table,0,0,0.0,0.0,0.0
86,Arrange button cluster|buttons+hand+phone+table+watch,0,0,0.0,0.0,0.0
87,Align button row|button+phone+table+watch,0,0,0.0,0.0,0.0
88,Align button row|button+table+watch,0,0,0.0,0.0,0.0
89,Arrange buttons on table|buttons+hand+power adapter+soda can+table+watch,0,0,0.0,0.0,0.0
90,Arrange buttons on table|buttons+hand+power adapter+soda can+table,0,0,0.0,0.0,0.0
91,Arrange buttons on table|buttons+hand+hands+power adapter+soda can+table+watch,0,0,0.0,0.0,0.0
92,Look around the table|black container+buttons+hands+soda can+table+watch,0,0,0.0,0.0,0.0
93,Look around the table|black container+buttons+hands+people+phone+soda can+table+vr headsets+watch,0,0,0.0,0.0,0.0
94,Adjust red button in row|black container+buttons+hands+people+phone+table+vr headsets+watch,0,0,0.0,0.0,0.0
95,Adjust red button in row|buttons+phone+table,0,0,0.0,0.0,0.0
96,Select button from pile|buttons+phone+table,0,0,0.0,0.0,0.0
97,Adjust red button|black buttons+orange buttons+red buttons+right hand+wooden table,0,0,0.0,0.0,0.0
98,Pull back hand|hand+phone+red button+table,0,0,0.0,0.0,0.0
99,Pull back hand|hand+red button+table,0,0,0.0,0.0,0.0
100,Align red buttons|black buttons+orange buttons+red buttons+table,0,0,0.0,0.0,0.0
101,Survey the table|black buttons+hand+orange buttons+person+phone+piles of buttons+red buttons+table,0,0,0.0,0.0,0.0
102,Reach for black button|black buttons+buttons+hand+orange buttons+person+phone+piles of buttons+red buttons+smartphone+table,0,0,0.0,0.0,0.0
103,Reach for black button|buttons+hand+smartphone+table,0,0,0.0,0.0,0.0
104,Arrange black buttons|buttons+hand+smartphone+table,0,0,0.0,0.0,0.0
105,Pick up black button|button+hand+phone+table,0,0,0.0,0.0,0.0
106,Move black button|button+hand+phone+table,0,0,0.0,0.0,0.0
107,Move black button|black button+button+hand+orange buttons+phone+red buttons+table,0,0,0.0,0.0,0.0
108,Pick up red button|buttons+mobile phone+table+wrist watch,0,0,0.0,0.0,0.0
109,Place red button|black buttons+phone+red button+table+watch,0,0,0.0,0.0,0.0
110,Move and place black buttons|black buttons+orange buttons+red buttons+table,0,0,0.0,0.0,0.0
111,Reach for multicolored buttons|black buttons+multicolored buttons+table,0,0,0.0,0.0,0.0
112,Arrange buttons in row|buttons+mobile phone+table,0,0,0.0,0.0,0.0
113,Arrange buttons in row|buttons+mobile phone+power bank+table,0,0,0.0,0.0,0.0
114,Arrange red buttons|buttons+mobile phone+power bank+soda can+table,0,0,0.0,0.0,0.0
115,Arrange red buttons|buttons+mobile phone+soda can+table,0,0,0.0,0.0,0.0
116,Touch device|buttons+power bank+table,0,0,0.0,0.0,0.0
117,Touch device|buttons+people+power bank+table,0,0,0.0,0.0,0.0
118,Align red button in row|black buttons+hand+red buttons+smartphone+table,0,0,0.0,0.0,0.0
119,Align red button in row|black buttons+button+hand+red buttons+smartphone+table,0,0,0.0,0.0,0.0
120,Reach and sort buttons|button+mobile phone+paper tube+table,0,0,0.0,0.0,0.0
121,Adjust red button position|buttons (pile)+hand+red buttons+table,0,0,0.0,0.0,0.0
122,Withdraw hand from buttons|battery pack+can+hand+person+phone+red buttons+table,0,0,0.0,0.0,0.0
123,Place and align button|hand+line of buttons+red button+table,0,0,0.0,0.0,0.0
124,Move hand|buttons+cell phone+cluster of buttons+hand+wooden table,0,0,0.0,0.0,0.0
125,Move hand|buttons+cell phone+hand+table+wooden table,0,0,0.0,0.0,0.0
126,Reach for button|hand+multi-colored buttons+red buttons+table,0,0,0.0,0.0,0.0
127,Move button to line|hand+multi-colored buttons+red buttons+table,0,0,0.0,0.0,0.0
128,Cut cardboard piece|cardboard piece+scissors+smartphone,0,0,0.0,0.0,0.0
129,Manipulate cardboard piece|cardboard piece+scissors+smartphone,0,0,0.0,0.0,0.0
130,Place cardboard piece|cardboard piece+power bank+scissors+smartphone,0,0,0.0,0.0,0.0
131,Place cardboard piece|cardboard+cardboard piece+power bank+scissors+smartphone,0,0,0.0,0.0,0.0
132,Place cardboard piece|cardboard+power bank+scissors+smartphone,0,0,0.0,0.0,0.0
133,Position scissors to cut cardboard|cardboard piece+scissors+smartphone,0,0,0.0,0.0,0.0
134,Cut cardboard|cardboard piece+scissors+smartphone,0,4,0.0,0.0,0.0
135,Release scissors|cardboard piece+scissors+smartphone,0,0,0.0,0.0,0.0
136,Pick up scissors|scissors+triangular cardboard piece,0,0,0.0,0.0,0.0
137,Pick up scissors|scissors,0,0,0.0,0.0,0.0
138,Position scissors|cardboard scrap piles+scissors+smartphone+square cardboard,0,0,0.0,0.0,0.0
139,Place down scissors|cardboard piece+scissors,0,0,0.0,0.0,0.0
140,Place down scissors|cardboard piece+cardboard sheet+scissors,0,0,0.0,0.0,0.0
141,Pick up scissors|cardboard pieces+scissors+smartphone,0,0,0.0,0.0,0.0
142,Put down scissors|cardboard piece+scissors+smartphone,0,0,0.0,0.0,0.0
143,Put down scissors|cardboard piece+scissors+smartphone+table,0,0,0.0,0.0,0.0
144,Put down scissors|scissors+smartphone+table,0,0,0.0,0.0,0.0
145,Move away from workstation|cardboard pieces+desk+scissors,0,0,0.0,0.0,0.0
146,Walk through corridor|cardboard pieces+desk+scissors,0,0,0.0,0.0,0.0
147,Walk through corridor|cardboard pieces+desk+desks+hallway+scissors,0,0,0.0,0.0,0.0
148,Walk through corridor|desks+hallway,0,0,0.0,0.0,0.0
149,Arrive at a different workstation|cardboard boxes+people,0,0,0.0,0.0,0.0
150,Move vacuum cleaner hose|cardboard box+packing material+vacuum cleaner hose,0,0,0.0,0.0,0.0
151,Mark cardboard with ruler and pen|cardboard+red pen+ruler+scissors+water bottle,0,0,0.0,0.0,0.0
152,Mark cardboard with pen and ruler|cardboard+red pen+ruler+scissors+water bottle,0,0,0.0,0.0,0.0
153,Cut cardboard with scissors|cardboard+red pen+ruler+scissors,0,0,0.0,0.0,0.0
154,Cut cardboard|cardboard+red pen+ruler+scissors+utility knife,0,0,0.0,0.0,0.0
155,Place down scissors|cardboard+red pen+ruler+scissors+utility knife,0,0,0.0,0.0,0.0
156,Place down scissors|cardboard+pen+red pen+ruler+scissors+utility knife+water bottle,0,0,0.0,0.0,0.0
157,Place down scissors|cardboard+pen+ruler+scissors+water bottle,0,0,0.0,0.0,0.0
158,Reach for utility knife|cardboard+pen+ruler+scissors+water bottle,0,0,0.0,0.0,0.0
159,Position ruler on cardboard|cardboard+metal ruler+red pen+scissors+utility knife,0,0,0.0,0.0,0.0
160,Hold ruler steady|cardboard+metal ruler+red pen+scissors+utility knife,0,1,0.0,0.0,0.0
161,Mark line on cardboard|cardboard+marker+ruler+scissors+utility knife,0,7,0.0,0.0,0.0
162,Move marker and ruler|cardboard+red marker+ruler,0,0,0.0,0.0,0.0
163,Move marker and ruler|cardboard+red marker+ruler+water bottle,0,0,0.0,0.0,0.0
164,Pick up smartphone|cardboard+metal ruler+red marker+scissors,0,5,0.0,0.0,0.0
165,Pick up smartphone|cardboard+metal ruler+red marker+scissors+smartphone,0,5,0.0,0.0,0.0
166,Place smartphone on cardboard|cardboard+metal ruler+red marker+scissors+smartphone+utility knife+water bottle,0,0,0.0,0.0,0.0
167,Mark cardboard|cardboard+metal ruler+red marker+scissors+water bottle,0,0,0.0,0.0,0.0
168,Stack cardboard pieces|cardboard+red marker+ruler+scissors+utility knife+water bottle,0,1,0.0,0.0,0.0
169,Stack cardboard pieces|cardboard+cardboard squares+red marker+ruler+scissors+utility knife+water bottle,0,0,0.0,0.0,0.0
170,Stack cardboard pieces|cardboard squares+red marker+ruler+scissors+utility knife+water bottle,0,0,0.0,0.0,0.0
171,Hold cardboard pieces|cardboard pieces+red marker+ruler+scissors+utility knife+water bottle,0,0,0.0,0.0,0.0
172,Place cardboard|cardboard sheet+red marker+ruler+scissors+utility knife,0,0,0.0,0.0,0.0
173,Align ruler on cardboard|cardboard sheet+red marker+ruler+scissors+utility knife,0,0,0.0,0.0,0.0
174,Mark cardboard with pen|cardboard+red marker pen+ruler+scissors+utility knife,0,0,0.0,0.0,0.0
175,Plug cable into portable charger|portable charger+power strip+usb cable,0,0,0.0,0.0,0.0
176,Pick up portable charger|portable charger+usb cable,0,0,0.0,0.0,0.0
177,Walk towards room|portable charger+usb cable,0,0,0.0,0.0,0.0
178,Hold portable charger|hand+portable charger,0,0,0.0,0.0,0.0
179,Place charger on table|portable charger+table,0,0,0.0,0.0,0.0
180,Hold charger and cable|charging cable+portable charger,0,0,0.0,0.0,0.0
181,Manipulate power cable plug|portable charger+power cable,0,0,0.0,0.0,0.0
182,Insert plug into power adapter|portable charger+power cable plug,0,0,0.0,0.0,0.0
183,Hold power adapter|hand+power adapter,0,0,0.0,0.0,0.0
184,Align charging cable|charging cable+portable charger,0,0,0.0,0.0,0.0
185,Insert charging cable|charging cable+portable charger,0,0,0.0,0.0,0.0
186,Observe desktop layout|craft paper+paper stars+pen+portable charger+smartphone,0,0,0.0,0.0,0.0
187,Retract camera/reposition view|craft paper+pen+portable charger+smartphone+stack of papers,0,0,0.0,0.0,0.0
188,Manipulate paper strip|beads+paper strips+phone+portable charger,0,0,0.0,0.0,0.0
189,Fold paper strip|beads+hands+paper strip+table,0,0,0.0,0.0,0.0
190,Release paper strip|desk+light blue paper strip,0,0,0.0,0.0,0.0
191,Pick up yellow paper strip|desk+yellow paper strip,0,0,0.0,0.0,0.0
192,Pick up yellow paper strip|desk+hands+yellow paper strip,0,0,0.0,0.0,0.0
193,Pick up yellow paper strip|hands+yellow paper strip,0,0,0.0,0.0,0.0
194,Fold paper strip|paper document+paper strip+pen+power bank,0,0,0.0,0.0,0.0
195,Pick up phone|paper strip+smartphone,0,1,0.0,0.0,0.0
196,Use phone|paper strip+smartphone,0,0,0.0,0.0,0.0
197,Place phone on desk|paper strip+smartphone,0,0,0.0,0.0,0.0
198,Pick up phone|paper+paper strips+pen+power bank+smartphone,0,0,0.0,0.0,0.0
199,Interact with phone|paper strips+power bank+smartphone,0,1,0.0,0.0,0.0
200,Place phone down|paper strips+power bank+smartphone,0,0,0.0,0.0,0.0
201,Manipulate paper strip|purple paper strip+table,0,0,0.0,0.0,0.0
202,Manipulate paper strip|cell phone+paper strips+purple paper strip+table,0,0,0.0,0.0,0.0
203,Manipulate paper strip|cell phone+paper strips+purple paper strip,0,20,0.0,0.0,0.0
204,Manipulate paper strip|purple paper strip,0,1,0.0,0.0,0.0
