query_index,row_id,rank,top1_row_id
0,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:0,1433,long_80f_stride40:9c553886-83c5-4dc4-be5c-dcb269b3a771__ep2:qa:86
1,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:1,1958,long_80f_stride40:9c553886-83c5-4dc4-be5c-dcb269b3a771__ep2:qa:86
2,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:2,1712,long_80f_stride40:9c553886-83c5-4dc4-be5c-dcb269b3a771__ep2:qa:86
3,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:3,1295,long_80f_stride40:9c553886-83c5-4dc4-be5c-dcb269b3a771__ep2:qa:86
4,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:39,3541,medium_40f_stride20:b9dd769b-e31a-4fdb-945e-5a60db6487b0__ep2:qa:8
5,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:40,3516,medium_40f_stride20:b9dd769b-e31a-4fdb-945e-5a60db6487b0__ep2:qa:8
6,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:41,3341,medium_40f_stride20:b9dd769b-e31a-4fdb-945e-5a60db6487b0__ep2:qa:8
7,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:89,3870,dense_20f_stride10:b6579cb5-0a71-4ca6-8808-1e2700be05c7__ep3:qa:27
8,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:90,3808,dense_20f_stride10:b6579cb5-0a71-4ca6-8808-1e2700be05c7__ep3:qa:27
9,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:91,3964,dense_20f_stride10:b6579cb5-0a71-4ca6-8808-1e2700be05c7__ep3:qa:27
10,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:96,313,long_80f_stride40:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:92
11,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:97,329,long_80f_stride40:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:92
12,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:98,262,long_80f_stride40:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:92
13,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:99,427,long_80f_stride40:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:92
14,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:119,552,medium_40f_stride20:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:201
15,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:120,160,medium_40f_stride20:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:201
16,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:121,2,medium_40f_stride20:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:201
17,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:122,603,medium_40f_stride20:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:201
18,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:134,1745,dense_20f_stride10:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:26
19,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:135,1010,dense_20f_stride10:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:26
20,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:136,1419,dense_20f_stride10:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:26
21,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:137,1211,dense_20f_stride10:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:26
22,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:173,282,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
23,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:174,334,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
24,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:175,238,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
25,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:176,975,long_80f_stride40:a1012a57-385e-45a9-8a59-694a26fe92a5__ep1:qa:81
26,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:192,2315,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
27,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:193,2117,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
28,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:194,2267,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
29,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:195,2505,long_80f_stride40:1796b943-caad-43c6-b9bd-80b8d601f37d__ep1:qa:74
30,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:231,1045,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
31,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:232,1319,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
32,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:233,1194,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
33,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:242,3409,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
34,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:243,3185,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
35,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:244,2308,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
36,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:245,3668,long_80f_stride40:877779cd-25f3-4293-a3c4-39067dd9558c__ep4:qa:58
37,dense_20f_stride10:8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:257,147,dense_20f_stride10:b6579cb5-0a71-4ca6-8808-1e2700be05c7__ep3:qa:254
