class_id,class_name,support,predicted,precision,recall,f1
0,Retrieving items from boxes,0,0,0.0,0.0,0.0
1,Placing products on shelf,0,0,0.0,0.0,0.0
2,Stocking canned goods,0,4,0.0,0.0,0.0
3,Arranging products on shelf,0,0,0.0,0.0,0.0
4,Organizing shelf workspace,0,0,0.0,0.0,0.0
5,Finalizing shelf placement,0,0,0.0,0.0,0.0
6,Wiping and organizing grocery products,0,0,0.0,0.0,0.0
7,Wiping shelves and cleaning product items,0,0,0.0,0.0,0.0
8,Cleaning products and retrieving items from boxes,0,0,0.0,0.0,0.0
9,Cleaning and organizing products in boxes,0,0,0.0,0.0,0.0
10,Cleaning and boxing jars,0,0,0.0,0.0,0.0
11,Wiping shelves,0,0,0.0,0.0,0.0
12,Cleaning shelves and handling pickle jars,0,0,0.0,0.0,0.0
13,Organizing pickle jars and maintaining cleaning tools,0,0,0.0,0.0,0.0
14,Wiping shelves and picking up products,0,3,0.0,0.0,0.0
15,Wiping product jars and shelf stocking,0,0,0.0,0.0,0.0
16,Wiping product jars,0,0,0.0,0.0,0.0
17,Cleaning shelves and relocating,0,0,0.0,0.0,0.0
18,Picking up and packing products,0,11,0.0,0.0,0.0
19,Holding and inspecting product,0,22,0.0,0.0,0.0
20,Transferring products from box to shelf,0,52,0.0,0.0,0.0
21,Adjusting posture while holding item,0,19,0.0,0.0,0.0
22,Grasping and placing products on shelf,0,0,0.0,0.0,0.0
23,Rearranging items from shelf back to box,0,0,0.0,0.0,0.0
24,Sorting and grouping buttons,0,0,0.0,0.0,0.0
25,Organizing buttons into patterns,0,0,0.0,0.0,0.0
26,Refining button layout,0,0,0.0,0.0,0.0
27,Sorting buttons by color,0,11,0.0,0.0,0.0
28,Aligning button rows,0,0,0.0,0.0,0.0
29,Final button arrangement,0,0,0.0,0.0,0.0
30,Cutting cardboard pieces with scissors,0,2,0.0,0.0,0.0
31,Manipulating cardboard piece,0,0,0.0,0.0,0.0
32,Positioning scissors to cut cardboard,0,2,0.0,0.0,0.0
33,Releasing scissors,0,3,0.0,0.0,0.0
34,Manipulating cardboard and picking up scissors,0,0,0.0,0.0,0.0
35,Cutting cardboard,0,11,0.0,0.0,0.0
36,Picking up and positioning scissors,0,8,0.0,0.0,0.0
37,Transitioning to new workstation,0,0,0.0,0.0,0.0
38,Marking dimensions on cardboard,0,0,0.0,0.0,0.0
39,Cutting cardboard with scissors,0,333,0.0,0.0,0.0
40,Finishing cut and placing scissors down,0,0,0.0,0.0,0.0
41,unknown,18,1516,0.0013192612137203166,0.1111111111111111,0.002607561929595828
42,Positioning ruler for measurement,0,2,0.0,0.0,0.0
43,Marking lines with pen,0,4,0.0,0.0,0.0
44,Adjusting marker and ruler,0,0,0.0,0.0,0.0
45,Drawing lines and checking smartphone,0,0,0.0,0.0,0.0
46,Marking and cutting cardboard,0,0,0.0,0.0,0.0
47,Aligning ruler for final measurements,0,0,0.0,0.0,0.0
48,Finalizing marks on cardboard,0,0,0.0,0.0,0.0
49,Connecting power cables to a portable charger,0,3,0.0,0.0,0.0
50,Preparing workspace for craft activity,0,0,0.0,0.0,0.0
51,Crafting with paper strips,0,1,0.0,0.0,0.0
52,Folding paper strips,0,63,0.0,0.0,0.0
53,Folding and organizing paper strips,0,0,0.0,0.0,0.0
54,Folding paper strips while using phone,0,4,0.0,0.0,0.0
55,Manipulating paper strips,0,17,0.0,0.0,0.0
56,Adjusting and placing down paper pieces,0,0,0.0,0.0,0.0
57,Finalizing and releasing folded paper,0,0,0.0,0.0,0.0
58,Fold paper strip,0,0,0.0,0.0,0.0
59,Fold paper strip into knot,0,0,0.0,0.0,0.0
60,Fold paper strip into lucky star,0,0,0.0,0.0,0.0
61,Inflate paper star,0,0,0.0,0.0,0.0
62,Folding purple paper strip,0,0,0.0,0.0,0.0
63,Holding and creasing purple paper,0,0,0.0,0.0,0.0
64,Releasing paper and reaching for phone,0,0,0.0,0.0,0.0
65,Organizing paper strips,0,0,0.0,0.0,0.0
66,Preparation and initial cutting with utility knife,0,0,0.0,0.0,0.0
67,Cutting and separating cardboard pieces,0,0,0.0,0.0,0.0
68,Cutting cardboard with utility knife,0,0,0.0,0.0,0.0
69,Marking cardboard piece,0,66,0.0,0.0,0.0
70,Marking cardboard piece and preparing workspace,0,0,0.0,0.0,0.0
71,Retrieving tools from bag,0,0,0.0,0.0,0.0
72,Retrieving smartphone,0,2,0.0,0.0,0.0
73,Measuring and adjusting workspace,0,4,0.0,0.0,0.0
74,Marking cardboard with pen,0,0,0.0,0.0,0.0
75,Drawing guide lines on cardboard,0,0,0.0,0.0,0.0
76,Walking towards the desk,0,0,0.0,0.0,0.0
77,Preparing materials and positioning hands for quilling,0,0,0.0,0.0,0.0
78,Manipulating and releasing quilling strips,0,0,0.0,0.0,0.0
79,Manipulating and releasing paper strips,0,10,0.0,0.0,0.0
80,Beginning to roll the quilling strip,0,7,0.0,0.0,0.0
81,Typing on smartphone while working with paper,0,0,0.0,0.0,0.0
82,Checking stock information,0,1,0.0,0.0,0.0
83,Organizing products on shelf,0,0,0.0,0.0,0.0
