class_id,class_name,support,predicted,precision,recall,f1
0,Place jar on shelf,0,0,0.0,0.0,0.0
1,Reach for item in box,0,0,0.0,0.0,0.0
2,Pick up nut bar box,0,0,0.0,0.0,0.0
3,unknown,246,399,0.14285714285714285,0.23170731707317074,0.1767441860465116
4,Pick up product from box,0,4,0.0,0.0,0.0
5,Place product on shelf,0,106,0.0,0.0,0.0
6,Pick up product from bin,0,10,0.0,0.0,0.0
7,Place canned product on shelf,0,0,0.0,0.0,0.0
8,Reach for next product,0,0,0.0,0.0,0.0
9,Pick up canned product,0,0,0.0,0.0,0.0
10,Reach for next canned product,0,0,0.0,0.0,0.0
11,Arrange canned products on shelf,0,0,0.0,0.0,0.0
12,Pick up plastic bin,0,0,0.0,0.0,0.0
13,Move bin to shelf area,0,1,0.0,0.0,0.0
14,Place can on shelf,15,0,0.0,0.0,0.0
15,Retract hand,0,0,0.0,0.0,0.0
16,Hold and wipe product,0,0,0.0,0.0,0.0
17,Reach for next item,15,4,0.0,0.0,0.0
18,Wipe down shelf,0,0,0.0,0.0,0.0
19,Pick up product,0,10,0.0,0.0,0.0
20,Wipe product,0,0,0.0,0.0,0.0
21,Wipe food product,0,0,0.0,0.0,0.0
22,Reach into box,12,0,0.0,0.0,0.0
23,Place product in box,0,1,0.0,0.0,0.0
24,Wipe jar,0,3,0.0,0.0,0.0
25,Place jar in box,0,2,0.0,0.0,0.0
26,Wipe shelf,0,0,0.0,0.0,0.0
27,Pick up pickle jar,0,3,0.0,0.0,0.0
28,Hold pickle jar,0,0,0.0,0.0,0.0
29,Place pickle jar in box,0,0,0.0,0.0,0.0
30,Release pickle jar,0,0,0.0,0.0,0.0
31,Hold cleaning cloth,0,0,0.0,0.0,0.0
32,Wipe the shelf,0,0,0.0,0.0,0.0
33,Pick up product from shelf,0,39,0.0,0.0,0.0
34,Wipe the product jar,0,0,0.0,0.0,0.0
35,Place jar into shelf box,0,1,0.0,0.0,0.0
36,Wipe grocery shelf,0,5,0.0,0.0,0.0
37,Move to next section,0,0,0.0,0.0,0.0
38,Hold product,0,2,0.0,0.0,0.0
39,Hold item and adjust posture,0,1,0.0,0.0,0.0
40,Grasp product from box,0,1,0.0,0.0,0.0
41,Prepare to place product,0,2,0.0,0.0,0.0
42,Move product to shelf,0,0,0.0,0.0,0.0
43,Grasp product from shelf,0,0,0.0,0.0,0.0
44,Move product to box,0,1,0.0,0.0,0.0
45,Grasp next item,0,3,0.0,0.0,0.0
46,Reach for buttons,0,0,0.0,0.0,0.0
47,Rearrange buttons,0,1,0.0,0.0,0.0
48,Align button in row,0,0,0.0,0.0,0.0
49,Pick up button,16,0,0.0,0.0,0.0
50,Place button in row,0,0,0.0,0.0,0.0
51,Place button,24,0,0.0,0.0,0.0
52,Release button,0,0,0.0,0.0,0.0
53,Pick up orange button,0,0,0.0,0.0,0.0
54,Arrange small buttons,0,0,0.0,0.0,0.0
55,Align button,0,0,0.0,0.0,0.0
56,Align buttons,0,0,0.0,0.0,0.0
57,Arrange button cluster,0,0,0.0,0.0,0.0
58,Align button row,0,0,0.0,0.0,0.0
59,Arrange buttons on table,0,0,0.0,0.0,0.0
60,Look around the table,0,1,0.0,0.0,0.0
61,Adjust red button in row,0,1,0.0,0.0,0.0
62,Select button from pile,0,0,0.0,0.0,0.0
63,Adjust red button,0,0,0.0,0.0,0.0
64,Pull back hand,0,1,0.0,0.0,0.0
65,Align red buttons,0,1,0.0,0.0,0.0
66,Survey the table,0,3,0.0,0.0,0.0
67,Reach for black button,0,1,0.0,0.0,0.0
68,Arrange black buttons,0,2,0.0,0.0,0.0
69,Pick up black button,0,0,0.0,0.0,0.0
70,Move black button,0,0,0.0,0.0,0.0
71,Pick up red button,0,0,0.0,0.0,0.0
72,Place red button,0,4,0.0,0.0,0.0
73,Move and place black buttons,0,0,0.0,0.0,0.0
74,Reach for multicolored buttons,0,1,0.0,0.0,0.0
75,Arrange buttons in row,0,2,0.0,0.0,0.0
76,Arrange red buttons,0,0,0.0,0.0,0.0
77,Align red button in row,0,1,0.0,0.0,0.0
78,Reach and sort buttons,0,0,0.0,0.0,0.0
79,Adjust red button position,0,0,0.0,0.0,0.0
80,Withdraw hand from buttons,0,3,0.0,0.0,0.0
81,Place and align button,0,0,0.0,0.0,0.0
82,Move hand,0,1,0.0,0.0,0.0
83,Reach for button,0,0,0.0,0.0,0.0
84,Move button to line,0,0,0.0,0.0,0.0
85,Cut cardboard piece,39,0,0.0,0.0,0.0
86,Manipulate cardboard piece,0,1,0.0,0.0,0.0
87,Place cardboard piece,0,0,0.0,0.0,0.0
88,Position scissors to cut cardboard,0,0,0.0,0.0,0.0
89,Cut cardboard,169,140,0.0,0.0,0.0
90,Release scissors,7,0,0.0,0.0,0.0
91,Pick up scissors,0,0,0.0,0.0,0.0
92,Position scissors,0,0,0.0,0.0,0.0
93,Place down scissors,0,0,0.0,0.0,0.0
94,Put down scissors,0,0,0.0,0.0,0.0
95,Move away from workstation,0,0,0.0,0.0,0.0
96,Walk through corridor,0,0,0.0,0.0,0.0
97,Arrive at a different workstation,0,0,0.0,0.0,0.0
98,Move vacuum cleaner hose,0,0,0.0,0.0,0.0
99,Walk through workspace,0,0,0.0,0.0,0.0
100,Mark cardboard with ruler and pen,0,0,0.0,0.0,0.0
101,Mark cardboard with pen and ruler,0,0,0.0,0.0,0.0
102,Cut cardboard with scissors,0,0,0.0,0.0,0.0
103,Reach for utility knife,0,2,0.0,0.0,0.0
104,Position ruler on cardboard,0,6,0.0,0.0,0.0
105,Hold ruler steady,0,2,0.0,0.0,0.0
106,Mark line on cardboard,0,1,0.0,0.0,0.0
107,Move marker and ruler,0,0,0.0,0.0,0.0
108,Pick up smartphone,8,2,0.0,0.0,0.0
109,Place smartphone on cardboard,0,0,0.0,0.0,0.0
110,Mark cardboard,0,0,0.0,0.0,0.0
111,Stack cardboard pieces,0,3,0.0,0.0,0.0
112,Hold cardboard pieces,0,0,0.0,0.0,0.0
113,Place cardboard,0,45,0.0,0.0,0.0
114,Align ruler on cardboard,0,1,0.0,0.0,0.0
115,Mark cardboard with pen,0,0,0.0,0.0,0.0
116,Plug cable into portable charger,0,0,0.0,0.0,0.0
117,Pick up portable charger,0,0,0.0,0.0,0.0
118,Walk towards room,0,0,0.0,0.0,0.0
119,Hold portable charger,0,0,0.0,0.0,0.0
120,Place charger on table,0,0,0.0,0.0,0.0
121,Hold charger and cable,0,0,0.0,0.0,0.0
122,Manipulate power cable plug,0,0,0.0,0.0,0.0
123,Insert plug into power adapter,0,0,0.0,0.0,0.0
124,Hold power adapter,0,0,0.0,0.0,0.0
125,Align charging cable,0,0,0.0,0.0,0.0
126,Insert charging cable,0,0,0.0,0.0,0.0
127,Observe desktop layout,0,0,0.0,0.0,0.0
128,Retract camera/reposition view,0,0,0.0,0.0,0.0
129,Manipulate paper strip,144,0,0.0,0.0,0.0
130,Fold paper strip,0,294,0.0,0.0,0.0
131,Release paper strip,34,1,0.0,0.0,0.0
132,Pick up yellow paper strip,0,0,0.0,0.0,0.0
133,Pick up phone,0,3,0.0,0.0,0.0
134,Use phone,23,2,0.0,0.0,0.0
135,Place phone on desk,0,1,0.0,0.0,0.0
136,Interact with phone,0,1,0.0,0.0,0.0
137,Place phone down,8,4,0.0,0.0,0.0
138,Place down paper pieces,0,238,0.0,0.0,0.0
139,Adjust paper strip,0,1,0.0,0.0,0.0
140,Continue folding paper strip,0,8,0.0,0.0,0.0
141,Release folded paper,0,1,0.0,0.0,0.0
142,Fold paper strip into knot,0,0,0.0,0.0,0.0
143,Fold paper strip into lucky star,0,0,0.0,0.0,0.0
144,Inflate paper star,0,0,0.0,0.0,0.0
145,Fold purple paper strip,0,0,0.0,0.0,0.0
146,Fold purple paper,0,0,0.0,0.0,0.0
147,Hold and crease purple paper,0,1,0.0,0.0,0.0
148,Release paper,0,0,0.0,0.0,0.0
149,Reach for phone,0,0,0.0,0.0,0.0
150,Retrieve paper strips,0,2,0.0,0.0,0.0
151,Fold and organize paper strips,0,0,0.0,0.0,0.0
152,Hold charger,0,0,0.0,0.0,0.0
153,Separate cardboard piece,0,0,0.0,0.0,0.0
154,Cut cardboard with utility knife,0,0,0.0,0.0,0.0
155,Switch to scissors,0,0,0.0,0.0,0.0
156,Mark cardboard piece,64,0,0.0,0.0,0.0
157,Reach into bag,0,0,0.0,0.0,0.0
158,Retract hand from bag,0,0,0.0,0.0,0.0
159,Open small case,0,1,0.0,0.0,0.0
160,Measure cardboard with ruler,0,1,0.0,0.0,0.0
161,Move smartphone,23,0,0.0,0.0,0.0
162,Hold ruler on cardboard,0,0,0.0,0.0,0.0
163,Remove ruler,0,0,0.0,0.0,0.0
164,Walk towards table,0,0,0.0,0.0,0.0
165,Approach desk,0,0,0.0,0.0,0.0
166,Position hands for work,0,0,0.0,0.0,0.0
167,Manipulate quilling strip,0,0,0.0,0.0,0.0
168,Release quilling strip,0,0,0.0,0.0,0.0
169,Begin rolling quilling strip,0,0,0.0,0.0,0.0
170,Type on smartphone,0,10,0.0,0.0,0.0
171,Use phone to check stock,0,0,0.0,0.0,0.0
172,Place phone on shelf,0,5,0.0,0.0,0.0
173,Organize products,0,3,0.0,0.0,0.0
174,Close cardboard box,0,0,0.0,0.0,0.0
175,Grasp package,0,2,0.0,0.0,0.0
176,Place item on shelf,21,29,0.0,0.0,0.0
177,Move cardboard box,0,1,0.0,0.0,0.0
178,Observe shelf status,0,2,0.0,0.0,0.0
179,Walk towards aisle,0,0,0.0,0.0,0.0
180,Inspect product lid,0,2,0.0,0.0,0.0
181,Move towards shelf,0,0,0.0,0.0,0.0
182,Adjust item on shelf,19,0,0.0,0.0,0.0
183,Reach for another item,16,0,0.0,0.0,0.0
184,Remove item from shelf,0,0,0.0,0.0,0.0
185,Discard item into bin,0,1,0.0,0.0,0.0
186,Sweep debris,0,1,0.0,0.0,0.0
187,Sweep floor debris,0,1,0.0,0.0,0.0
188,Touch shelf edge,0,2,0.0,0.0,0.0
189,Reach for product,0,1,0.0,0.0,0.0
190,Release label,0,0,0.0,0.0,0.0
191,Remove shelf label,0,1,0.0,0.0,0.0
192,Move along shelf,0,0,0.0,0.0,0.0
193,Carry stool to next shelf,0,0,0.0,0.0,0.0
194,Place stool on floor,0,2,0.0,0.0,0.0
195,Observe shelf,0,0,0.0,0.0,0.0
196,Walk towards next aisle,0,0,0.0,0.0,0.0
197,Reach for product labels,0,2,0.0,0.0,0.0
198,Hold product labels,0,8,0.0,0.0,0.0
199,Examine labels,0,0,0.0,0.0,0.0
200,Pick up bottled sauce,0,0,0.0,0.0,0.0
201,Place sauce in container,0,0,0.0,0.0,0.0
202,Pick up supplement bottle,0,0,0.0,0.0,0.0
203,Hold supplement bottle,0,0,0.0,0.0,0.0
204,Open supplement bottle,0,0,0.0,0.0,0.0
205,Walk through store,0,0,0.0,0.0,0.0
206,Reach for item on shelf,0,1,0.0,0.0,0.0
207,Pick up item,0,0,0.0,0.0,0.0
208,Examine item,0,0,0.0,0.0,0.0
