id,episode_id,split,start_frame,end_frame,main_task
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:0,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,0,19,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:1,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,10,29,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:2,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,20,39,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:3,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,30,49,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:4,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,40,59,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:5,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,50,69,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:6,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,60,79,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:31,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,320,339,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:32,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,330,349,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:33,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,340,359,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:34,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,350,369,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:35,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,360,379,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:36,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,370,389,Stocking grocery shelves
dense_20f_stride10:27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:70,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,720,739,Stocking grocery shelves
