task,model_family,status,primary_metric,primary_score,metric_direction,reason,error
action_object_relation,neural_mlp_raw128,pass,macro_f1,0.0,higher,,
action_object_relation,simple_raw128_centroid,pass,macro_f1,0.0,higher,,
camera_view_sync_retrieval,neural_mlp_raw128,unsupported,mrr,,higher,"128-episode NPZ manifest has camera pose plus audio/depth/caption features, but no two explicit video-view feature blocks for camera-view synchronization",
camera_view_sync_retrieval,simple_raw128_ridge,unsupported,mrr,,higher,"128-episode NPZ manifest has camera pose plus audio/depth/caption features, but no two explicit video-view feature blocks for camera-view synchronization",
caption_grounding,neural_mlp_raw128,pass,mrr,0.0063402121886610985,higher,,
caption_grounding,simple_raw128_ridge,pass,mrr,0.011150892823934555,higher,,
contact_prediction,neural_mlp_raw128,pass,macro_f1,1.0,higher,,
contact_prediction,simple_raw128_centroid,pass,macro_f1,0.886990707397193,higher,,
cross_modal_retrieval,neural_mlp_raw128,pass,mrr,0.002535284962505102,higher,,
cross_modal_retrieval,simple_raw128_ridge,pass,mrr,0.003459817497059703,higher,,
hand_trajectory_forecast,neural_mlp_raw128,pass,mae,0.18475216627120972,lower,,
hand_trajectory_forecast,simple_raw128_ridge,pass,mae,0.2729249894618988,lower,,
imu_to_hand_pose,neural_mlp_raw128,pass,mae,0.252998411655426,lower,,
imu_to_hand_pose,simple_raw128_ridge,pass,mae,0.22941437363624573,lower,,
interaction_text_prediction,neural_mlp_raw128,unsupported,macro_f1,,higher,raw 128-episode annotation.hdf5 interaction text is not present in the JSONL export; only hashed caption_objects_interaction_text features are available,
interaction_text_prediction,simple_raw128_centroid,unsupported,macro_f1,,higher,raw 128-episode annotation.hdf5 interaction text is not present in the JSONL export; only hashed caption_objects_interaction_text features are available,
long_horizon_next_action,neural_mlp_raw128,pass,macro_f1,0.001063859887389299,higher,,
long_horizon_next_action,simple_raw128_centroid,pass,macro_f1,0.0024280172369056294,higher,,
misalignment_detection,neural_mlp_raw128,pass,macro_f1,0.8272709077974252,higher,,
misalignment_detection,simple_raw128_centroid,pass,macro_f1,0.4958867673901769,higher,,
modality_reconstruction,neural_mlp_raw128,pass,r2,-1.3974418160502369,higher,,
modality_reconstruction,simple_raw128_ridge,pass,r2,-1.3450960391924882,higher,,
next_action,neural_mlp_raw128,pass,macro_f1,0.0018477984371755407,higher,,
next_action,simple_raw128_centroid,pass,macro_f1,0.003285273363482094,higher,,
next_subtask_forecast,neural_mlp_raw128,pass,macro_f1,0.0,higher,,
next_subtask_forecast,simple_raw128_centroid,pass,macro_f1,0.0,higher,,
object_relevance,neural_mlp_raw128_multilabel,pass,micro_f1,0.1765890386972509,higher,,
object_relevance,simple_raw128_ridge_multilabel,pass,micro_f1,0.0655376369662084,higher,,
object_set_forecast,neural_mlp_raw128_multilabel,pass,micro_f1,0.17523098630012288,higher,,
object_set_forecast,simple_raw128_ridge_multilabel,pass,micro_f1,0.06469493412657774,higher,,
temporal_order,neural_mlp_raw128,pass,macro_f1,0.8030047098504103,higher,,
temporal_order,simple_raw128_centroid,pass,macro_f1,0.49824413370686593,higher,,
time_to_transition,neural_mlp_raw128,pass,mae,42.374061584472656,lower,,
time_to_transition,simple_raw128_ridge,pass,mae,52.32759094238281,lower,,
timeline_action,neural_mlp_raw128,pass,macro_f1,0.0014955083181204041,higher,,
timeline_action,simple_raw128_centroid,pass,macro_f1,0.002915061325704321,higher,,
timeline_subtask,neural_mlp_raw128,pass,macro_f1,7.35632183908046e-05,higher,,
timeline_subtask,simple_raw128_centroid,pass,macro_f1,0.0,higher,,
transition_detection,neural_mlp_raw128,pass,macro_f1,0.4902206914147213,higher,,
transition_detection,simple_raw128_centroid,pass,macro_f1,0.4203613574238283,higher,,
