label,support,predicted,true_positive,precision,recall,f1
,2,10,,0.2,1.0,0.33333333333333337
,2,4,,0.5,1.0,0.6666666666666666
,2,4,,0.25,0.5,0.3333333333333333
,2,1,,0.0,0.0,0.0
,2,2,,0.5,0.5,0.5
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,2,2,,0.0,0.0,0.0
,4,12,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,7,0,,0.0,0.0,0.0
,8,6,,0.16666666666666666,0.125,0.14285714285714288
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,2,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,5,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,5,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,5,0,,0.0,0.0,0.0
,5,0,,0.0,0.0,0.0
,14,91,,0.10989010989010989,0.7142857142857143,0.1904761904761905
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,7,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,5,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,5,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,4,3,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,4,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,3,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,3,,0.0,0.0,0.0
,2,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,2,1,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,6,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,1,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,0,,0.0,0.0,0.0
,1,1,,0.0,0.0,0.0
,3,0,,0.0,0.0,0.0
,0,6,,0.0,0.0,0.0
,0,74,,0.0,0.0,0.0
,0,9,,0.0,0.0,0.0
,0,4,,0.0,0.0,0.0
,0,3,,0.0,0.0,0.0
,0,2,,0.0,0.0,0.0
,0,38,,0.0,0.0,0.0
,0,12,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,19,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,5,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,2,,0.0,0.0,0.0
,0,4,,0.0,0.0,0.0
,0,4,,0.0,0.0,0.0
,0,4,,0.0,0.0,0.0
,0,4,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,3,,0.0,0.0,0.0
,0,2,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,3,,0.0,0.0,0.0
,0,9,,0.0,0.0,0.0
,0,2,,0.0,0.0,0.0
,0,1,,0.0,0.0,0.0
,0,2,,0.0,0.0,0.0
