query_index,row_id,rank,top1_row_id
0,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:0,1,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:0
1,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:20,20,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:0
2,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:46,428,a1012a57-385e-45a9-8a59-694a26fe92a5__ep1:qa:12
3,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:50,427,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:0
4,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:62,426,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:0
5,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:70,391,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:146
6,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:71,392,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:146
7,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:90,430,a1012a57-385e-45a9-8a59-694a26fe92a5__ep1:qa:12
8,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:100,298,b750fab3-7fbb-43a0-b451-c64c4d4a64da__ep1:qa:150
9,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:120,421,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:0
10,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:126,420,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:0
11,8a8e1b3c-607e-4ada-b3fd-fa639727e92c__ep1:qa:127,419,5399ef86-4df9-49bc-809f-8f4f92f9e659__ep6:qa:0
