class_id,class_name,support,predicted,precision,recall,f1
0,Retrieving items from boxes,0,0,0.0,0.0,0.0
1,Placing products on shelf,0,0,0.0,0.0,0.0
2,Stocking canned goods,0,0,0.0,0.0,0.0
3,Arranging products on shelf,0,0,0.0,0.0,0.0
4,Organizing shelf workspace,0,0,0.0,0.0,0.0
5,Finalizing shelf placement,0,0,0.0,0.0,0.0
6,Wiping and organizing grocery products,0,0,0.0,0.0,0.0
7,Wiping shelves and cleaning product items,0,0,0.0,0.0,0.0
8,Cleaning products and retrieving items from boxes,0,0,0.0,0.0,0.0
9,Cleaning and organizing products in boxes,0,0,0.0,0.0,0.0
10,Cleaning and boxing jars,0,0,0.0,0.0,0.0
11,Wiping shelves,0,0,0.0,0.0,0.0
12,Cleaning shelves and handling pickle jars,0,0,0.0,0.0,0.0
13,Organizing pickle jars and maintaining cleaning tools,0,0,0.0,0.0,0.0
14,Wiping shelves and picking up products,0,0,0.0,0.0,0.0
15,Cleaning shelves and rearranging products,0,0,0.0,0.0,0.0
16,Wiping product jars and shelf stocking,0,0,0.0,0.0,0.0
17,Cleaning shelves and relocating,0,0,0.0,0.0,0.0
18,Picking up and packing products,0,0,0.0,0.0,0.0
19,Holding and inspecting product,0,0,0.0,0.0,0.0
20,Transferring products from box to shelf,0,0,0.0,0.0,0.0
21,Adjusting posture while holding item,0,0,0.0,0.0,0.0
22,Grasping and placing products on shelf,0,0,0.0,0.0,0.0
23,Rearranging items from shelf back to box,0,0,0.0,0.0,0.0
24,Sorting and grouping buttons,0,0,0.0,0.0,0.0
25,Organizing buttons into patterns,0,0,0.0,0.0,0.0
26,Refining button layout,0,0,0.0,0.0,0.0
27,Sorting buttons by color,0,0,0.0,0.0,0.0
28,Aligning button rows,0,0,0.0,0.0,0.0
29,Final button arrangement,0,0,0.0,0.0,0.0
30,Cutting cardboard pieces with scissors,0,0,0.0,0.0,0.0
31,Manipulating cardboard piece,0,0,0.0,0.0,0.0
32,Placing cardboard piece,0,0,0.0,0.0,0.0
33,Positioning scissors to cut cardboard,0,0,0.0,0.0,0.0
34,Releasing scissors,0,0,0.0,0.0,0.0
35,Manipulating cardboard and picking up scissors,0,0,0.0,0.0,0.0
36,Cutting cardboard,0,0,0.0,0.0,0.0
37,Placing down scissors,0,0,0.0,0.0,0.0
38,Cutting cardboard and putting down scissors,0,0,0.0,0.0,0.0
39,Transitioning to new workstation,0,0,0.0,0.0,0.0
40,Cleaning workspace,0,0,0.0,0.0,0.0
41,Marking dimensions on cardboard,0,0,0.0,0.0,0.0
42,Cutting cardboard with scissors,0,0,0.0,0.0,0.0
43,Finishing cut and placing scissors down,0,0,0.0,0.0,0.0
44,Reaching for utility knife,0,0,0.0,0.0,0.0
45,Positioning ruler for measurement,0,0,0.0,0.0,0.0
46,Marking lines with pen,0,0,0.0,0.0,0.0
47,Adjusting marker and ruler,0,0,0.0,0.0,0.0
48,Drawing lines and checking smartphone,0,0,0.0,0.0,0.0
49,Using smartphone as a guide on cardboard,0,0,0.0,0.0,0.0
50,Marking and cutting cardboard,0,0,0.0,0.0,0.0
51,Cutting and stacking cardboard pieces,0,0,0.0,0.0,0.0
52,Aligning ruler for final measurements,0,0,0.0,0.0,0.0
53,Finalizing marks on cardboard,0,0,0.0,0.0,0.0
54,Connecting power cables to a portable charger,0,0,0.0,0.0,0.0
55,Preparing workspace for craft activity,0,0,0.0,0.0,0.0
56,Crafting with paper strips,0,0,0.0,0.0,0.0
57,Folding paper strips,0,0,0.0,0.0,0.0
58,Folding and organizing paper strips,0,0,0.0,0.0,0.0
59,Folding paper strips while using phone,0,0,0.0,0.0,0.0
60,Manipulating paper strips,0,0,0.0,0.0,0.0
61,Adjusting and placing down paper pieces,0,0,0.0,0.0,0.0
62,Finalizing and releasing folded paper,0,0,0.0,0.0,0.0
63,Fold paper strip,0,32,0.0,0.0,0.0
64,Fold paper strip into knot,0,0,0.0,0.0,0.0
65,Fold paper strip into lucky star,0,0,0.0,0.0,0.0
66,Inflate paper star,0,0,0.0,0.0,0.0
67,Folding purple paper strip,0,0,0.0,0.0,0.0
68,Holding and creasing purple paper,0,0,0.0,0.0,0.0
69,Releasing paper and reaching for phone,0,0,0.0,0.0,0.0
70,Organizing paper strips,0,0,0.0,0.0,0.0
71,Preparation and initial cutting with utility knife,0,0,0.0,0.0,0.0
72,Cutting and separating cardboard pieces,0,0,0.0,0.0,0.0
73,Cutting cardboard with utility knife,0,0,0.0,0.0,0.0
74,Transitioning from utility knife to scissors,0,0,0.0,0.0,0.0
75,Marking cardboard piece,0,0,0.0,0.0,0.0
76,Marking cardboard piece and preparing workspace,0,0,0.0,0.0,0.0
77,Retrieving tools from bag,0,0,0.0,0.0,0.0
78,Retrieving smartphone,0,0,0.0,0.0,0.0
79,Measuring and adjusting workspace,0,0,0.0,0.0,0.0
80,Marking cardboard with pen,0,0,0.0,0.0,0.0
81,Drawing guide lines on cardboard,0,0,0.0,0.0,0.0
82,Walking towards the desk,0,0,0.0,0.0,0.0
83,Preparing materials and positioning hands for quilling,0,0,0.0,0.0,0.0
