id,episode_id,split,start_frame,end_frame,main_task
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:0,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,0,19,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:1,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,20,39,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:16,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,320,339,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:17,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,340,359,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:36,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,720,739,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:37,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,740,759,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:46,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,920,939,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:47,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,940,959,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:56,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1120,1139,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:57,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1140,1159,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:70,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1400,1419,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:71,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1420,1439,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:90,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1800,1819,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:91,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1820,1839,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:96,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1920,1939,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:97,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,1940,1959,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:120,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,2400,2419,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:121,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,2420,2439,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:146,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,2920,2939,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:147,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,2940,2959,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:170,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,3400,3419,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:171,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,3420,3439,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:172,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,3440,3459,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:240,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,4800,4819,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:241,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,4820,4839,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:246,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,4920,4939,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:247,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,4940,4959,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:248,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,4960,4979,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:250,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,5000,5019,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:251,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,5020,5039,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:252,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,5040,5059,Stocking grocery shelves
27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4:qa:253,27c9fc42-2bb4-4737-b09c-08d2dd88aed4__ep4,train,5060,5079,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:0,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,0,19,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:1,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,20,39,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:18,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,360,379,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:20,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,400,419,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:30,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,600,619,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:31,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,620,639,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:36,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,720,739,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:40,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,800,819,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:44,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,880,899,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:66,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,1320,1339,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:70,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,1400,1419,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:82,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,1640,1659,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:83,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,1660,1679,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:90,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,1800,1819,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:102,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2040,2059,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:103,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2060,2079,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:108,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2160,2179,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:109,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2180,2199,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:120,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2400,2419,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:128,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2560,2579,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:134,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2680,2699,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:135,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2700,2719,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:140,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,2800,2819,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:160,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,3200,3219,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:161,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,3220,3239,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:194,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,3880,3899,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:195,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,3900,3919,Stocking grocery shelves
6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2:qa:200,6dc018a4-0614-478c-9332-86bd6c4af9e8__ep2,train,4000,4019,Stocking grocery shelves
