selection_rank,split,size_band,episode_path,top_level_session,episode_id,annotation_human,training_human,annotation_bytes,training_bytes_excluding_visualization_rrd,has_visualization_rrd,selection_score
1,test,short,8a8e1b3c-607e-4ada-b3fd-fa639727e92c/ep1,8a8e1b3c-607e-4ada-b3fd-fa639727e92c,ep1,1.58 GiB,2.07 GiB,1692922632,2220826383,False,0.0168743
2,train,short,27c9fc42-2bb4-4737-b09c-08d2dd88aed4/ep4,27c9fc42-2bb4-4737-b09c-08d2dd88aed4,ep4,1.58 GiB,2.06 GiB,1692213048,2215296867,False,0.01853652
3,train,short,363abff7-e5ce-425e-a85c-5397186aefd2/ep3,363abff7-e5ce-425e-a85c-5397186aefd2,ep3,1.57 GiB,2.06 GiB,1689936188,2212544693,False,0.01988375
4,train,short,0e4f59cc-c232-4ad0-9d0c-fed6e026422a/ep3,0e4f59cc-c232-4ad0-9d0c-fed6e026422a,ep3,1.57 GiB,2.08 GiB,1686278728,2233434022,False,0.02007735
5,train,short,705435da-879d-456e-a28e-f15f86e75027/ep3,705435da-879d-456e-a28e-f15f86e75027,ep3,1.58 GiB,2.04 GiB,1694263288,2190558798,False,0.02126736
6,train,short,65adf646-cb23-430e-9583-12482dd451a1/ep8,65adf646-cb23-430e-9583-12482dd451a1,ep8,1.58 GiB,2.04 GiB,1692898400,2191724036,False,0.02161242
7,train,short,0474d134-f983-4590-9cf9-29bd1c6e33cb/ep3,0474d134-f983-4590-9cf9-29bd1c6e33cb,ep3,1.57 GiB,2.09 GiB,1682258880,2238843545,False,0.02162206
8,test,short,33f7ae08-ac1d-4321-9cb9-eca79016b359/ep1,33f7ae08-ac1d-4321-9cb9-eca79016b359,ep1,1.58 GiB,2.03 GiB,1695175580,2178429798,False,0.02247304
9,test,short,34f07a04-eb37-45a3-95ec-189ed5f4a85b/ep5,34f07a04-eb37-45a3-95ec-189ed5f4a85b,ep5,1.58 GiB,2.05 GiB,1697525816,2203402325,False,0.02249368
10,val,short,2f579b88-12fb-41c2-aa2a-9b8f5ae8f918/ep1,2f579b88-12fb-41c2-aa2a-9b8f5ae8f918,ep1,1.58 GiB,2.05 GiB,1699834356,2198942634,False,0.02252887
11,train,short,0ffa6540-b99f-4909-9f80-c1b3e4c14a85/ep6,0ffa6540-b99f-4909-9f80-c1b3e4c14a85,ep6,1.57 GiB,2.06 GiB,1688274456,2206993440,False,0.02276091
12,train,short,c5e31792-0961-463c-bfb4-ff89030c2ac8/ep1,c5e31792-0961-463c-bfb4-ff89030c2ac8,ep1,1.59 GiB,2.10 GiB,1711092828,2258479672,False,0.02287723
13,train,short,6dc018a4-0614-478c-9332-86bd6c4af9e8/ep2,6dc018a4-0614-478c-9332-86bd6c4af9e8,ep2,1.59 GiB,2.08 GiB,1705236060,2230296590,False,0.02316309
14,train,short,c09b25c6-218c-4e06-95ff-d63eccf20f2b/ep8,c09b25c6-218c-4e06-95ff-d63eccf20f2b,ep8,1.58 GiB,2.07 GiB,1700863160,2222145094,False,0.02336672
15,train,short,0d330006-684f-4e93-bf38-06d53be3fe5f/ep3,0d330006-684f-4e93-bf38-06d53be3fe5f,ep3,1.58 GiB,2.05 GiB,1700228808,2198320817,False,0.02392015
16,test,short,cba9c19e-a55f-46e8-bda8-423cdcc2de5f/ep1,cba9c19e-a55f-46e8-bda8-423cdcc2de5f,ep1,1.59 GiB,2.06 GiB,1704207792,2207730397,False,0.02403295
17,train,short,322958e6-2d26-40d7-af3d-cb16362c78f7/ep2,322958e6-2d26-40d7-af3d-cb16362c78f7,ep2,1.60 GiB,2.10 GiB,1713121844,2258882875,False,0.02431338
