class_name,support,predicted,precision,recall,f1
Adjust lantern string and handle components,28,0,0.0,0.0,0.0
Adjusting and securing paper structure,36,0,0.0,0.0,0.0
Adjusting cookware,23,0,0.0,0.0,0.0
Adjusting paper edge and placing strip,43,0,0.0,0.0,0.0
Adjusting stock and finishing placement,17,0,0.0,0.0,0.0
Align paper lantern edges,29,0,0.0,0.0,0.0
Aligning canned goods on the shelf,9,0,0.0,0.0,0.0
Approach inventory boxes,34,0,0.0,0.0,0.0
Approaching the stove,9,0,0.0,0.0,0.0
Arrange buttons,33,0,0.0,0.0,0.0
Arrange buttons in a line,29,0,0.0,0.0,0.0
Assembling material pieces,32,0,0.0,0.0,0.0
Attempt to fit and place puzzle piece,5,0,0.0,0.0,0.0
Bending plastic strip,16,0,0.0,0.0,0.0
Browsing smartphone,32,0,0.0,0.0,0.0
Bundle display hooks,22,0,0.0,0.0,0.0
Checking cooking pot,20,0,0.0,0.0,0.0
Checking smartphone,24,0,0.0,0.0,0.0
Cleaning cloth maintenance,25,0,0.0,0.0,0.0
Cleaning kitchen surfaces,28,0,0.0,0.0,0.0
Cooking at the stove,32,0,0.0,0.0,0.0
Count beads and retrieve more,28,0,0.0,0.0,0.0
Cut along the marked line,51,0,0.0,0.0,0.0
Cut cardboard,172,0,0.0,0.0,0.0
Cutting cardboard pieces,49,0,0.0,0.0,0.0
Document bead counts,22,0,0.0,0.0,0.0
Entering the training area,35,0,0.0,0.0,0.0
Expand and adjust lantern shape,24,0,0.0,0.0,0.0
Expand paper lantern,22,0,0.0,0.0,0.0
Extract wire hangers from inventory,43,0,0.0,0.0,0.0
Final alignment of lantern edges,6,0,0.0,0.0,0.0
Finalizing shelf organization,27,0,0.0,0.0,0.0
Finish cutting along the marked line and reposition,7,0,0.0,0.0,0.0
Fold and grasp lantern,24,0,0.0,0.0,0.0
Folding plastic strip,57,0,0.0,0.0,0.0
Grasp lantern component,15,0,0.0,0.0,0.0
Greeting participants,49,0,0.0,0.0,0.0
Handle paper lantern component,19,0,0.0,0.0,0.0
Handling container lid,25,0,0.0,0.0,0.0
Handling earbud case,24,0,0.0,0.0,0.0
Handling plastic strip,28,0,0.0,0.0,0.0
Holding smartphone,28,0,0.0,0.0,0.0
Initiating assembly,34,0,0.0,0.0,0.0
Inspect shelf condition,27,0,0.0,0.0,0.0
Inspect shelf condition and observe surroundings,3,0,0.0,0.0,0.0
Install display hooks,18,0,0.0,0.0,0.0
Labeling cardboard pieces,196,0,0.0,0.0,0.0
Manipulate adhesive strip,44,0,0.0,0.0,0.0
Manipulate and release paper strips,34,0,0.0,0.0,0.0
Manipulate craft pieces,38,0,0.0,0.0,0.0
Manipulate paper decoration,41,0,0.0,0.0,0.0
Manipulate paper edge,35,0,0.0,0.0,0.0
Manipulate paper strip,44,0,0.0,0.0,0.0
Manipulate paper strips,86,0,0.0,0.0,0.0
Manipulate puzzle piece,38,0,0.0,0.0,0.0
Manipulate puzzle pieces,35,0,0.0,0.0,0.0
Manipulating beads,45,0,0.0,0.0,0.0
Manipulating plastic strip,37,0,0.0,0.0,0.0
Manipulating yellow strips,31,0,0.0,0.0,0.0
Move to stocking area,10,0,0.0,0.0,0.0
Moving around the kitchen,22,0,0.0,0.0,0.0
Moving through the room,20,0,0.0,0.0,0.0
Observe puzzle progress,32,0,0.0,0.0,0.0
Observing and pausing,17,0,0.0,0.0,0.0
Open paper lantern,13,0,0.0,0.0,0.0
Operate and release smartphone,7,0,0.0,0.0,0.0
Organize and count beads,56,0,0.0,0.0,0.0
Organizing cardboard pieces,15,0,0.0,0.0,0.0
Paper quilling craft,32,0,0.0,0.0,0.0
Pick up and place buttons,40,0,0.0,0.0,0.0
Pick up and place puzzle piece,31,0,0.0,0.0,0.0
"Pick, place, and count beads",33,0,0.0,0.0,0.0
Picking up and placing canned goods,17,0,0.0,0.0,0.0
Place and adjust items on shelf,42,0,0.0,0.0,0.0
Place and retrieve items for stocking,27,0,0.0,0.0,0.0
Place items on shelf,6,0,0.0,0.0,0.0
Place puzzle piece,16,0,0.0,0.0,0.0
Placing and retrieving canned goods,19,0,0.0,0.0,0.0
Placing canned goods on the shelf,63,0,0.0,0.0,0.0
Prepare to cut cardboard,49,0,0.0,0.0,0.0
Preparing craft area,24,0,0.0,0.0,0.0
Preparing materials,31,0,0.0,0.0,0.0
Preparing plastic strip for folding,9,0,0.0,0.0,0.0
"Reach for, pick up, and attempt to fit puzzle piece",53,0,0.0,0.0,0.0
Reaching into the box for more stock,33,0,0.0,0.0,0.0
Release and adjust puzzle piece,15,0,0.0,0.0,0.0
Release scissors and operate smartphone,44,0,0.0,0.0,0.0
Remove packaging and prepare component,32,0,0.0,0.0,0.0
Retrieving and placing canned goods,7,0,0.0,0.0,0.0
Retrieving cleaning supplies,32,0,0.0,0.0,0.0
Scrolling and placing smartphone down,21,0,0.0,0.0,0.0
Scrolling and setting down smartphone,24,0,0.0,0.0,0.0
Scrolling smartphone screen,31,0,0.0,0.0,0.0
Search for and pick up puzzle piece,26,0,0.0,0.0,0.0
Secure lantern with adhesive,33,0,0.0,0.0,0.0
Secure paper edges with adhesive,39,0,0.0,0.0,0.0
Setting up smartphone,3,0,0.0,0.0,0.0
Sort and adjust button line,29,0,0.0,0.0,0.0
Sort and arrange buttons,32,0,0.0,0.0,0.0
Sort and group beads,22,0,0.0,0.0,0.0
Sort and place buttons,31,0,0.0,0.0,0.0
Sort and record bead counts,49,0,0.0,0.0,0.0
Sort beads and record count,75,0,0.0,0.0,0.0
Sort buttons,36,0,0.0,0.0,0.0
Sort buttons by color,25,0,0.0,0.0,0.0
Sort craft materials into piles,36,0,0.0,0.0,0.0
Sort puzzle pieces,34,0,0.0,0.0,0.0
Sort small craft pieces,39,0,0.0,0.0,0.0
Stocking multiple cans on the shelf,35,0,0.0,0.0,0.0
Tidying workspace,20,0,0.0,0.0,0.0
Transitioning to smartphone usage,59,0,0.0,0.0,0.0
Unfold paper lantern,16,0,0.0,0.0,0.0
Unpack additional lantern component,16,0,0.0,0.0,0.0
Unpack and place items on shelf,29,0,0.0,0.0,0.0
Use smartphone,30,0,0.0,0.0,0.0
Using a smartphone,28,0,0.0,0.0,0.0
Using phone,31,0,0.0,0.0,0.0
Using phone and resuming work,14,0,0.0,0.0,0.0
Using smartphone,26,0,0.0,0.0,0.0
Walk to shelf location,18,0,0.0,0.0,0.0
Walking to the crafting area,17,0,0.0,0.0,0.0
Wiping counter,16,0,0.0,0.0,0.0
Working with paper strips,76,0,0.0,0.0,0.0
Working with paper strips and using phone,3,0,0.0,0.0,0.0
unknown,18,0,0.0,0.0,0.0
Adjusting and folding cardboard,0,3913,0.0,0.0,0.0
Adjust and align Mahjong tiles,0,38,0.0,0.0,0.0
